店铺名称,店铺地址,种类,平均消费价格,店铺评分,评价人数,地区
金山蒙古传统涮（双榆树店）,海淀区海淀区双榆树青年公寓底商（近双安商场）,炭火锅,107.0,4.4,3,双榆树
宽板凳老灶火锅（清华同方店）,海淀区清华东路东王庄33号楼商铺,重庆火锅,95.0,4.3,48,五道口
呷哺呷哺（主语国际店）,海淀区首体南路9号主语国际项目地下一层,小火锅,47.0,4.7,350,紫竹桥
呷哺呷哺（万柳华联店）,海淀区巴沟路2号BHGMAII华联万柳购物中心B1层,小火锅,56.0,4.9,211,万柳
小龙坎老火锅（清河店）,海淀区清河中街清河嘉园东区甲1号楼301室,四川火锅,102.0,4.6,130,清河
鑫方老鸭汤火锅•羊蝎子（知春路店）,海淀区知春路罗庄西里7号楼（南配楼）,羊蝎子火锅,49.0,4.8,2316,知春路
大龙燚火锅（中关村环保园店）,海淀区紫雀路中关村环保示范园55号楼二层,川味火锅,121.0,4.5,52,海淀区
唇辣号重庆老火锅（马连洼店）,海淀区马连洼北路8号万霖科技大厦C座106号,重庆火锅,104.0,4.2,59,上地
潮鼎香潮汕牛肉火锅（五棵松华熙LIVE hi-up店）,海淀区复兴路69号院2号华熙LIVEhi-up西区B1层096室,潮汕牛肉火锅,113.0,3.9,2904,五棵松
阳坊大都涮肉（邯钢宾馆店）,海淀区西三环中路邯钢大厦B1层（赵都食府旁边）,老北京火锅,100.0,4.9,717,公主坟/万寿路
喵十三串串香（知春路店）,海淀区罗庄东路10号,串串香,60.0,4.4,1665,牡丹园/北太平庄
呷哺呷哺（金源新燕莎MALL店）,海淀区远大路1号金源新燕莎MALL北街东区4层,小火锅,57.0,4.8,404,远大路
虾吃虾涮虾火锅（圣熙8号店）,海淀区学清路甲八号圣熙8号购物中心东侧,虾蟹火锅,63.0,4.3,3331,五道口
老皇城重庆火锅（香山店）,海淀区海淀区闵庄路门头村京香花园216号文军阁鱼头馆三楼老皇城重庆火锅,重庆火锅,105.0,4.5,31,香山/植物园
呷哺呷哺（中发百旺店）,海淀区圆明园西路18号中发百旺商城5层,小火锅,48.0,4.9,410,上地
鑫方老鸭汤火锅•羊蝎子（六道口店）,海淀区清华东路25号六所大厦三层,羊蝎子火锅,57.0,4.6,4051,五道口
付小姐在成都（杏坛路店）,海淀区杏坛路与北三环中路交叉口南50米路东,串串香,78.0,4.7,383,牡丹园/北太平庄
口福居老北京涮肉（大运村店）,海淀区知春路29号大学生公寓7-8号楼（大学生公寓往南）,老北京火锅,67.0,4.5,5009,知春路
海底捞火锅（龙旗广场店）,昌平区黄平路19号院龙旗购物中心3层F3-006、F3-020号商铺,四川火锅,114.0,4.6,75,西三旗
八一后院北门铜锅涮肉,海淀区麒麟雅苑(苏州街店)29号,老北京火锅,90.0,4.3,15,中关村
大脑袋涮肉烧烤·清真（莲花桥店）,海淀区华宝东路莲花池西里26号院1号楼1层106,老北京火锅,71.0,4.7,35,公主坟/万寿路
邮电会议中心阳坊大都涮肉,海淀区挂甲屯5号会议中心酒楼1楼,老北京火锅,56.0,4.5,3184,颐和园
呷哺呷哺（四道口乐天玛特店）,海淀区四道口乐天玛特一层,小火锅,56.0,4.5,314,北下关
京北仙火锅（用友软件园店）,海淀区北清路用友软件园北区17号楼1层01室,重庆火锅,111.0,4.5,89,西北旺
九宫格重庆老火锅（五道口店）,海淀区双清路88号华源世纪商务楼b1层102室（华源世纪商务楼东侧）,重庆火锅,92.0,4.4,139,五道口
蜀宗签味串串香（家合居）,海淀区聂各庄路王婆大虾旁边,串串香,63.0,4.8,12,海淀区
那年约火锅·串吧（万寿路店）,海淀区万寿路东街18号院南门对面（凯德晶品后街）,重庆火锅,82.0,4.1,169,公主坟/万寿路
汕头八合里海记牛肉店（清河店）,海淀区G6国道辅路小营桥红绿灯向北300米岔路内西三旗派出所旁,潮汕牛肉火锅,119.0,4.8,705,清河
呷哺呷哺（枫蓝国际店）,海淀区西直门北大街32号枫蓝国际购物中心3层,小火锅,50.0,4.5,380,北下关
京北仙火锅（唐家岭店）,海淀区友谊路唐家岭村T08-10号底商北3号,火锅,90.0,4.6,229,西北旺
尚尚仙•猪肚鸡火锅（肖家河华联店）,海淀区龙背村路99号院1号楼二层F2-31,猪肚鸡火锅,104.0,4.6,112,颐和园
汕头八合里海记牛肉店（清河店）,海淀区G6国道辅路小营桥红绿灯向北300米岔路内西三旗派出所旁,潮汕牛肉火锅,119.0,4.8,705,清河
吉龍吉鳳·火锅（六道口店）,海淀区学清路41号裕京大厦底层（7天连锁酒店旁边）,四川火锅,103.0,4.6,324,五道口
月盛斋（西直门店）,海淀区交大东路62号,老北京火锅,75.0,4.3,41,北下关
葫芦娃一家人火锅（世纪金源店）,海淀区远大路1号世纪金源购物中心五层西区531A号（远大路北）,四川火锅,115.0,4.3,66,远大路
有范儿串串香火锅（五道口店）,海淀区展春园西路2号蓟鑫大厦内南侧一层拐角处（五道口新东方对面）,串串香,80.0,4.7,2805,五道口
呷哺呷哺（肖家河华联店）,海淀区龙背村路99号院华联商厦B1层,小火锅,56.0,4.9,291,颐和园
满铁老北京铜锅涮肉（中关村店）,海淀区中关村南路中关村保福寺桥81号,老北京火锅,95.0,4.5,77,中关村
草原羊呼伦贝尔铜锅涮肉,海淀区黑山扈路105号,牛羊肉火锅,112.0,4.9,1,百望山森林公园/309医院
惠丰堂铜锅涮肉（翠微店）,海淀区复兴路公主坟翠微百货北门（邮政储蓄银行斜对面）,老北京火锅,107.0,4.4,91,公主坟/万寿路
尚尚仙·猪肚鸡火锅（华联万柳购物中心店）,海淀区巴沟路2号华联万柳购物中心5层,猪肚鸡火锅,105.0,4.6,193,万柳
川寨火锅（永定路店）,海淀区永定路解放军总医院第三医学中心北行第一家,重庆火锅,99.0,4.1,9,五棵松
呷哺呷哺（西苑颐和天街店）,海淀区颐和园路208号楼一层208-14208-15,小火锅,60.0,4.2,9,颐和园
额尔敦传统涮（北影店）,海淀区杏坛路40号B座3层,老北京火锅,107.0,4.5,319,牡丹园/北太平庄
朴氏私家火锅（西二旗店）,海淀区西二旗大街39号楼一层39-4-3,四川火锅,98.0,4.5,22,上地
111号打邊爐（中关村店）,海淀区中关村东路111号16幢1层-7,港式火锅,108.0,4.7,395,中关村
